0,2.0421,-0,-1.2448,-0,0,-0.16779,-9.9208,-0,0,1.1756,-1.5289,0,1.4237,-1.0922,3.4483,-0.3066,0.48122,-2.8334,-0,-0.13088,3.4151,4.2865,-3.0744,-3.4669,0,0.41994,1.2282,-2.0379,1.7684,1.6874,-4.5621,-0.67999,-3.5975,1.4658,1.4103,-0.24827,-0,0,0.096706,-1.8533,-0.4018,1.1943,-0,-1.0997,-0,0.61657,0.30424,1.9634,1.1341
0.32248,1.6518,-0.14811,-0.26996,0,-1.7931,0.63287,-0,0,-1.9423,4.9462,-1.4313,2.9284,5.6998,0.27386,-0,-1.3307,1.0084,-0,0.66507,1.6255,0.10634,4.1592,-0.72367,3.2875,0.51553,-4.0364,0.22257,-1.2178,-3.3636,-0.31586,-0.56526,-0.26395,0,-0.21491,2.0149,0,0,0.46864,-0,2.5923,-0,1.6865,-0,-0.77508,0,0.56693,-0,-0,-0
0.55756,-3.4766,0.03853,-1.1872,6.4018,0.76809,0,9.8987,4.6371,-4.73,-0.95186,-0.39576,0.91211,-0.15181,0.41924,-0,-3.8062,-0.099093,-3.478,0,-3.324,-3.9257,-5.8734,0.53949,-0,0.78328,-3.7687,-3.0501,1.5922,2.8599,0.46566,-0.808,1.3129,0,-2.0759,-0,3.6119,-0,0.1349,-0.66063,-5.6505,-4.3613,-2.6899,-0,0.1131,-0,-3.1833,-2.0818,-1.2866,-0.12831
3.9698,2.4692,0.24245,0.91312,-3.0248,-2.1405,-0,-0,0.40995,2.6911,4.2947,2.4394,0,-2.1968,-1.1767,1.3905,-2.1472,2.513,-2.7191,-0,1.2673,0.83749,-2.3388,-2.0687,-2.891,1.299,1.2681,1.8706,0.71623,-2.5212,-0.83472,-0,-0.53323,-0,4.7697,0,0,-0,-0.117,-0,0.85784,-0,0,3.0193,0.9841,2.8855,-1.373,-1.1506,-0.23134,-2.0667
-0,1.1705,0.73049,1.3224,0.62448,-1.2286,0.066746,-0,-3.7937,3.3481,-4.1514,-2.3489,-1.1788,-3.4175,-0.29017,-1.4192,0.40232,0.43937,0.023435,1.121,-0,0,-2.1913,3.1662,0.0096773,-1.1744,-2.4306,1.1772,1.0698,-5.7654,-0.63482,0.80198,-0,-2.3996,3.9147,-0.1522,1.1503,1.4795,0.13641,0.8914,1.4518,1.2911,1.217,0.69279,0.40481,-1.1853,2.4791,0,-2.0996,-2.2821
-0.24275,2.2384,0,0.14686,0,1.808,-0.21087,-1.5071,-2.4787,-3.1914,-0.22503,1.162,-2.2737,1.3109,-0.83995,1.4746,3.8339,-0.91311,6.3798,-1.8904,-0.7042,0.47502,2.2015,2.4214,-1.8386,-1.7032,0.59396,0,-0,-1.0865,1.5037,-0.85321,-0.35174,0.14027,2.418,0.58468,1.1232,-4.2625,-0.34221,0,-2.4341,-1.3927,0,-1.4982,0,-1.6446,-0.7796,-1.1998,2.3553,-1.108
-1.3923,0,-0.03484,-0.085987,-1.0065,-3.8772,-0.23128,-0,-2.3328,4.8507,-2.702,-1.5827,0,0,0.91182,0,0.14885,-0,-0,-0.2824,1.6674,3.8385,-0,-0,-0,-0,-0,2.0183,-0.054943,6.57,-0.29153,-0,-0.28908,-8.443,0.43982,-1.2391,-0.25838,7.3313,-0.22265,-0.078341,-0.39523,7.2826,1.0257,-0,0,-0,-0.29614,1.9756,0.15684,-0.059135
-0.12337,0.97455,0.075469,0.096703,0.58059,-3.8686,0.226,4.4948,-0.37556,-0.10076,-0.96116,-0.1971,-0,5.6204,2.3191,-4.5797,0.29794,0,0,3.5786,-0,-0,4.7685,-0,0.90123,-0,-4.3,-2.1252,-0.64212,4.8015,0,0,1.1421,-2.3082,-0,-0.29895,2.816,2.351,0.41249,0,4.7169,0,-0,0.0051303,-1.459,-1.8728,2.2928,-2.5355,1.2076,-2.7225
3.3337,-0.67097,-0,-1.753,-4.0051,-1.1011,-0.3154,-2.7,-1.3824,2.7108,0.02836,3.8358,2.4448,-2.1771,1.0136,0.23072,-1.8202,0,-4.2407,0.22349,0.55748,-3.9982,2.9389,-2.594,-3.7752,1.9512,1.7979,0,-1.0856,1.7777,2.4445,0,-0.14714,0,-4.1354,-0.29435,-1.9039,-2.656,0,1.2551,-0.46122,-0.54916,-0.79604,-0,1.3324,-0.43274,-0.87251,-1.1557,-0,0
-5.2439,0.34826,0.57034,0.16826,0,1.9098,0.51157,5.9323,-0,3.2659,3.9957,-0.90359,4.8396,6.8278,1.5319,-4.306,4.2657,-1.2476,4.1671,0.61459,-3.1597,1.454,-0,3.2998,3.731,-3.1521,-0,-0.70433,0.92191,0,-0.99616,0,-1.1892,0,2.7602,1.4438,2.4815,-0,-0.37574,1.2728,-0,-1.6165,3.1747,1.4784,-0.039929,-2.3042,-0,0.92505,1.7088,-1.8437
2.0683,-0,0.70311,0,-4.8444,-2.8783,-0.01518,3.046,-2.8486,3.6626,-0.2502,-3.4183,0.059387,-0.67994,0.051078,-0,-2.3039,-0.25512,-0,0.36988,-2.0063,-5.357,1.6206,2.6291,-2.9213,4.2845,-0,3.6253,-2.251,0,2.3389,-5.044,-0,2.3605,4.4588,-0.7242,-0,2.4929,0.62252,0.77009,-1.2071,0,1.6437,-4.2354,0.22272,-1.8703,0.23086,0,-1.2571,1.894
-0.19409,2.9226,0.052191,0.8795,-2.2732,-4.5028,0.20434,0.1723,3.0587,-3.673,-0.96905,1.1196,-0,-1.4447,-0.1432,2.7978,1.25,0.056352,0.98247,1.034,1.2252,1.8907,3.3807,-3.325,1.5216,-3.2154,-0,-0,-0,-0,0.58536,-0,0.95126,-1.3039,1.1256,-1.3836,-0.77815,6.4895,0.246,-1.1246,-0.48235,-0,-0,1.7273,-1.0927,0.15375,-0.80795,-0.91639,0.47519,-0.24314
-0.87858,3.4303,-1.5472,0.31926,-1.6727,2.2961,-0.26898,-0,0.6468,0,-2.0261,-2.7557,-2.382,0.96853,-0.74014,4.2953,-1.7441,0.09709,-0.16786,-0.07109,-2.3595,7.9092,-7.1941,-0,-0.88865,2.5175,1.7005,1.1584,2.1702,6.7745,-0.83507,-1.0842,-0,-0,-0.57852,-1.9604,-2.569,0.017552,0,0.65854,2.8728,1.0715,-3.2965,2.6359,-0.5397,0,4.2071,3.6402,0.90489,0.47822
0,2.6188,0,-0.57112,-4.5626,-1.1376,-0.1062,0,-0,1.234,0.61351,-0,-5.1233,1.9956,-1.9743,-6.4056,-2.6619,2.366,-3.2745,-0.17048,-0.22143,-1.6724,4.162,3.8239,-3.3958,1.472,5.1204,2.4362,-0.61931,2.8191,0,-3.6995,-0.77524,0.36235,-0.018408,0.048546,-0,-1.1984,0.74424,-0.29949,-4.7948,-0.87467,1.7236,-0,-0,-0,-5.4096,2.6602,0.20699,0.77614
-0.048877,-1.2411,0,-0.2909,0,-6.8818,0.052067,-6.5926,1.2489,0,-1.1473,1.6364,0,2.6752,-0.16786,-0.40684,0.75269,1.5805,0,0.29624,-0,-0,3.4508,-6.6345,0,0.46538,0,-1.8665,-0.59195,-7.6813,-1.2709,-0,0.023315,-5.5684,1.8438,0.63805,1.1178,1.2419,-0.34916,0.83153,-3.6994,-2.0451,-4.8222,-0,-0.025531,-0.75944,-3.7953,-1.8115,0,-2.8346
-2.1764,0,-0.56855,-0,-0,-0,0.2522,-0.034426,-0,-2.8301,1.7767,0,-0,0.17343,0.23004,-0.74892,3.3767,-0.84771,0.49468,-0,1.8882,0,9.7578,2.7308,2.8185,-4.0911,-0,-0.063761,-0,-0.77513,0.77768,3.2067,-0,2.3104,-0,0.27075,0.58319,0,0.1197,0.41097,2.6682,2.8088,0,0,0.39778,1.2147,-1.5672,-0,-0.29172,0.38785
